วันที่รายการมีผล,เวลา ,รายการ,เลขที่เช็ค,DFEBIT,CREDIT,Balance,หมายเลข,สาขา,วันที่ทำรายการ,ช่องทาง,LABEL
07/04/2026,02:25:49,รับโอนเงินอัตโนมัติ,0,0,976376.72,1006376.72,SMC07416,999,07-เม.ย.-2569,โอนเข้า/หักบัญชีอัตโนมัติ,จาก SMART BBL X5912 YUASA BATTERY THAI++
07/04/2026,02:25:49,รับโอนเงินอัตโนมัติ,0, ,1999988,3006364.72,SMC07416,999,07-เม.ย.-2569,โอนเข้า/หักบัญชีอัตโนมัติ,จาก SMART BBL X5912 YUASA BATTERY THAI++
07/04/2026,13:32:08,รับโอนเงินอัตโนมัติ,0, ,546136.56,3552501.28,SMC07416,999,07-เม.ย.-2569,โอนเข้า/หักบัญชีอัตโนมัติ,จาก SMART BBL X3575 TEAMPLAS CHEMICAL ++
07/04/2026,22:09:02,หักบัญชีด้วยเช็ค,10000453,29884.9, ,3522616.38,CCS00041,811,07-เม.ย.-2569,โอนเข้า/หักบัญชีอัตโนมัติ,เช็คเลขที่ 10000453
08/04/2026,18:00:01,โอนเงิน,0,202800, ,3319816.38,ACM10050,898,08-เม.ย.-2569,K-Cash Connect Plus,INTERBANK TRANSFER Ref 2026040804520654
08/04/2026,18:00:01,โอนเงิน,0,103010.88, ,3216805.50,ACM10012,898,08-เม.ย.-2569,K-Cash Connect Plus,DIRECT CREDIT Ref 2026040804518737
08/04/2026,18:00:01,โอนเงิน,0,585317.82, ,2631487.68,ACM10013,898,08-เม.ย.-2569,K-Cash Connect Plus,DIRECT CREDIT Ref 2026040804518429
08/04/2026,18:00:02,โอนเงิน,0,360573.95, ,2270913.73,ACM10004,898,08-เม.ย.-2569,K-Cash Connect Plus,DIRECT CREDIT Ref 2026040804517705
08/04/2026,18:00:02,โอนเงิน,0,66641.7, ,2204272.03,ACM10013,898,08-เม.ย.-2569,K-Cash Connect Plus,DIRECT CREDIT Ref 2026040804514270
08/04/2026,21:02:14,หักบัญชีด้วยเช็ค,10000805,849529.34, ,1354742.69,CCS00041,811,08-เม.ย.-2569,โอนเข้า/หักบัญชีอัตโนมัติ,เช็คเลขที่ 10000805
09/04/2026,02:39:30,รับโอนเงินอัตโนมัติ,0, ,1045505.35,2400248.04,SMC07206,999,09-เม.ย.-2569,โอนเข้า/หักบัญชีอัตโนมัติ,จาก SMART BBL X0263 DESHENGCHANG NEW M++
09/04/2026,17:41:39,โอนเงิน,0,587405, ,1812843.04,ACM10046,898,09-เม.ย.-2569,K-Cash Connect Plus,INTERBANK TRANSFER Ref 2026040904957839
09/04/2026,17:41:40,โอนเงิน,0,518003, ,1294840.04,ACM10021,898,09-เม.ย.-2569,K-Cash Connect Plus,DIRECT CREDIT Ref 2026040904960623
09/04/2026,17:41:40,โอนเงิน,0,422041.81, ,872798.23,ACM10005,898,09-เม.ย.-2569,K-Cash Connect Plus,DIRECT CREDIT Ref 2026040904959612
09/04/2026,17:41:40,โอนเงิน,0,748325.69, ,124472.54,ACM10028,898,09-เม.ย.-2569,K-Cash Connect Plus,DIRECT CREDIT Ref 2026040904958504
10/04/2026,02:57:17,รับโอนเงินอัตโนมัติ,0, ,1804643.54,1929116.08,SMC07416,999,10-เม.ย.-2569,โอนเข้า/หักบัญชีอัตโนมัติ,จาก SMART BBL X5912 YUASA BATTERY THAI++
10/04/2026,02:57:17,รับโอนเงินอัตโนมัติ,0, ,1999988,3929104.08,SMC07416,999,10-เม.ย.-2569,โอนเข้า/หักบัญชีอัตโนมัติ,จาก SMART BBL X5912 YUASA BATTERY THAI++
10/04/2026,21:40:14,ชำระค่าบัตรเครดิต,0,94925.98, ,3834178.10,CLK07841,9924,10-เม.ย.-2569,โอนเข้า/หักบัญชีอัตโนมัติ,รหัสอ้างอิง CLK07841
16/04/2026,02:40:05,รับโอนเงินอัตโนมัติ,0, ,345235.45,4179413.55,SMC07416,999,16-เม.ย.-2569,โอนเข้า/หักบัญชีอัตโนมัติ,จาก SMART BBL X5747 SIAM GS BATTERY CO++
16/04/2026,02:40:05,รับโอนเงินอัตโนมัติ,0, ,1999991,6179404.55,SMC07416,999,16-เม.ย.-2569,โอนเข้า/หักบัญชีอัตโนมัติ,จาก SMART BBL X5747 SIAM GS BATTERY CO++
16/04/2026,02:40:05,รับโอนเงินอัตโนมัติ,0, ,1999991,8179395.55,SMC07416,999,16-เม.ย.-2569,โอนเข้า/หักบัญชีอัตโนมัติ,จาก SMART BBL X5747 SIAM GS BATTERY CO++
16/04/2026,02:40:05,รับโอนเงินอัตโนมัติ,0, ,1999991,10179386.55,SMC07416,999,16-เม.ย.-2569,โอนเข้า/หักบัญชีอัตโนมัติ,จาก SMART BBL X5747 SIAM GS BATTERY CO++
16/04/2026,08:36:19,รับโอนเงิน,0, ,28890,10208276.55,KMP20892,1262,16-เม.ย.-2569,K PLUS,จาก X0272 MR. GUIFU ZH++
16/04/2026,10:23:38,โอนเงิน,0,63648, ,10144628.55,ACM10021,898,16-เม.ย.-2569,K-Cash Connect Plus,DIRECT CREDIT Ref 2026041605839683
16/04/2026,10:23:38,โอนเงิน,0,515293.6, ,9629334.95,ACM10021,898,16-เม.ย.-2569,K-Cash Connect Plus,DIRECT CREDIT Ref 2026041605838657
16/04/2026,10:47:05,โอนเงิน,0,60944, ,9568390.95,ACM10045,898,16-เม.ย.-2569,K-Cash Connect Plus,INTERBANK TRANSFER Ref 2026041605852004
16/04/2026,10:47:13,ค่าธรรมเนียม,0,3, ,9568387.95,ACM10040,898,16-เม.ย.-2569,K-Cash Connect Plus,INTERBANK TRANSFER Ref 2026041605852004
16/04/2026,11:00:15,โอนเงิน,0,1876505.55, ,7691882.40,ACM10029,898,16-เม.ย.-2569,K-Cash Connect Plus,DIRECT CREDIT Ref 2026041605856582
16/04/2026,11:00:15,โอนเงิน,0,16050, ,7675832.40,ACM10028,898,16-เม.ย.-2569,K-Cash Connect Plus,DIRECT CREDIT Ref 2026041605855902
16/04/2026,11:56:07,รับโอนเงิน,0, ,177620,7853452.40,Q0146543,1283,16-เม.ย.-2569,Internet/Mobile SCB,จาก SCB X2768 บริษัท นิค อินเตอร++
16/04/2026,12:45:24,โอนเงิน,0,1283482.14, ,6569970.26,ACM10045,898,16-เม.ย.-2569,K-Cash Connect Plus,INTERBANK TRANSFER Ref 2026041605886880
16/04/2026,12:47:08,โอนเงิน,0,1491.98, ,6568478.28,ACM10047,898,16-เม.ย.-2569,K-Cash Connect Plus,INTERBANK TRANSFER Ref 2026041605884472
16/04/2026,12:47:09,โอนเงิน,0,28787.2, ,6539691.08,ACM10051,898,16-เม.ย.-2569,K-Cash Connect Plus,INTERBANK TRANSFER Ref 2026041605884074
16/04/2026,12:47:09,โอนเงิน,0,129572.6, ,6410118.48,ACM10045,898,16-เม.ย.-2569,K-Cash Connect Plus,INTERBANK TRANSFER Ref 2026041605883634
16/04/2026,12:49:39,โอนเงิน,0,35727.12, ,6374391.36,ACM10045,898,16-เม.ย.-2569,K-Cash Connect Plus,INTERBANK TRANSFER Ref 2026041605883207
16/04/2026,12:49:40,โอนเงิน,0,390392.16, ,5983999.20,ACM10049,898,16-เม.ย.-2569,K-Cash Connect Plus,INTERBANK TRANSFER Ref 2026041605879996
