id,name,vat,ref,street,street2,city,state,zip,country,full_address,parsed_building_name,parsed_floor_number,parsed_room_number,parsed_moo,parsed_soi,parsed_sub_district,parsed_district,parsed_province
1,BERGSOE METALS COMPANY LIMITED,013553000051,False,"250 village No. 11, Banpa, Kaeng Khoi,",Saraburi Province 18110 Thailand,False,,False,,"250 village No. 11, Banpa, Kaeng Khoi, Saraburi Province 18110 Thailand",,,,,,,,Saraburi
10,"GS Yuasa Siam industry  Co.,Ltd.",0115551005428,False,"(Head Office) 111 Moo 9 Huasamrong, Plangyao,",Chachoengsao 24190,False,,False,,"(Head Office) 111 Moo 9 Huasamrong, Plangyao, Chachoengsao 24190",,,,09,,,,
11,"Somporn Metal Trading Co., Ltd.  (Fe001)",0115559013781,False,(สำนักงานใหญ่) 103/2 หมู่ที่ 2 ตำบลแหลมประดู่ อำเภอบ้านโพธิ์  จังหวัดฉะเชิงเทรา  24140,False,False,,False,,(สำนักงานใหญ่) 103/2 หมู่ที่ 2 ตำบลแหลมประดู่ อำเภอบ้านโพธิ์  จังหวัดฉะเชิงเทรา  24140,,,,02,,แหลมประดู่,บ้านโพธิ์,ฉะเชิงเทรา
25,"Siam GS Battery  Co.,Ltd.",0105509000014,False,"(Head Office ) 78-78/1 Moo 3 Sukhumvit Rd., T.Bangpoomai,","A.Muang, Samutprakarn 10280",False,,False,,"(Head Office ) 78-78/1 Moo 3 Sukhumvit Rd., T.Bangpoomai, A.Muang, Samutprakarn 10280",,,,03,,Bangpoomai,Muang,
41,บริษัท ยอดเขา จำกัด,0105564158295,False,(สำนักงานใหญ่) 65/112 ซอยรามอินทรา 14 แขวงท่าแร้ง,เขตบางเขน   กรุงเทพมหานคร  10220,False,,False,,(สำนักงานใหญ่) 65/112 ซอยรามอินทรา 14 แขวงท่าแร้ง เขตบางเขน   กรุงเทพมหานคร  10220,,,,,,ท่าแร้ง,บางเขน,
45,"Yuasa Battery(Thailand) Public  Co.,Ltd.",0107537002672,False,"(Head Office) No. 164 Village No. 5, Soi Thesaban 55, Sukhumvit Road, Ban Mai Subdistrict","Mueang Samut Prakan District, Samut Prakan Province 10280",False,,False,,"(Head Office) No. 164 Village No. 5, Soi Thesaban 55, Sukhumvit Road, Ban Mai Subdistrict Mueang Samut Prakan District, Samut Prakan Province 10280",,,,,Thesaban 55,,Prakan,Prakan
48,"บริษัท พี แอนด์ เอส นาวิเกชั่น จำกัด P&S Navigation Co., Ltd.",0105544102910,False,143 ซอยดำรงลัทธพิพัฒน์,ถ. อาจณรงค์ แขวงคลองเตย,เขตคลองเตย,กรุงเทพมหานคร (TH),10230,Thailand,143 ซอยดำรงลัทธพิพัฒน์ ถ. อาจณรงค์ แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร (TH),,,,,,คลองเตย,คลองเตย,กรุงเทพมหานคร (TH)
58,บริษัท เบอร์กโซ่ เมตัลส์ จำกัด (branch 00000),013553000051,False,250 หมู่ 11,ตำบลบ้านป่า อำเภอแก่งคอย สระบุรี 18110,False,,False,,250 หมู่ 11 ตำบลบ้านป่า อำเภอแก่งคอย สระบุรี 18110,,,,11,,บ้านป่า,แก่งคอย,
64,บริษัท บิ๊กแก๊ส เทคโนโลยี จำกัด BIGGAS TECHNOLOGY COMPANY LIMITED,False,False,389 อาคารพีเอสซีที,ถนนวิภาวดีรังสิต แขวงสามเสนใน,เขตพญาไท,กรุงเทพมหานคร (TH),10400,Thailand,389 อาคารพีเอสซีที ถนนวิภาวดีรังสิต แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร (TH),พีเอสซีที ถนนวิภาวดีรังสิต,,,,,สามเสนใน,พญาไท,กรุงเทพมหานคร (TH)
65,บริษัท ลินเด้ (ประเทศไทย) จำกัด (มหาชน) LINDE PUBLIC LIMITED COMPANY,0107537000785,False,ชั้น 15 บางนาทาวเวอร์ เอ 2/3 หมู่14 ถ.บางนา-ตราด กม.6.5 ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540,False,False,,False,,ชั้น 15 บางนาทาวเวอร์ เอ 2/3 หมู่14 ถ.บางนา-ตราด กม.6.5 ต.บางแก้ว อ.บางพลี จ.สมุทรปราการ 10540,,15,,14,,บางแก้ว,บางพลี,สมุทรปราการ
68,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,0107535000265,False,414 Phahon Yothin Road,False,PHAYA THAI,Bangkok (TH),10400,Thailand,414 Phahon Yothin Road PHAYA THAI Bangkok (TH),,,,,,,,Bangkok (TH)
559,TEAMPLAS CHEMICAL COMPANY LIMITED,0105534038305,False,"3/3 Moo 1 Pimpawat Road, Tambol Pimpa Amphoe Bangprakong",False,False,Chachoengsao (TH),24180,Thailand,"3/3 Moo 1 Pimpawat Road, Tambol Pimpa Amphoe Bangprakong Chachoengsao (TH)",,,,01,,,,Chachoengsao (TH)
560,DESHENGCHANG NEW MATERIAL (THAILAND) COMPANY LIMITED,0215565011777,False,7/506 Moo 6 Tambol Mapyangporn Amphoe Pluakdang,False,False,Rayong (TH),21140,,7/506 Moo 6 Tambol Mapyangporn Amphoe Pluakdang Rayong (TH),,,,06,,,,Rayong (TH)
561,SUN VENDING TECHNOLOGY PUBLIC COMPANY LIMITED,0107564000103,False,"34 Krungthep Kreetha Road, Hua Mak Subdistrict, Bang Kapi District",False,False,Bangkok (TH),10240,Thailand,"34 Krungthep Kreetha Road, Hua Mak Subdistrict, Bang Kapi District Bangkok (TH)",,,,,,,Kapi,Bangkok (TH)
562,PANYARAKSA COMPANY LIMITED,0105548127011,False,"199/1-3 Moo 1 Saeng chuto Road, Tambol Wangdong","Amphoe Mueng,",False,Kanchanaburi (TH),71190,Thailand,"199/1-3 Moo 1 Saeng chuto Road, Tambol Wangdong Amphoe Mueng, Kanchanaburi (TH)",,,,01,,,,Kanchanaburi (TH)
563,SIAM FURUKAWA COMPANY LIMITED,0105535010561,False,"33 Moo 4 Nongplakradee Road, Tambol Bualoy",False,Ampohe Nong Khae,Saraburi (TH),18140,Thailand,"33 Moo 4 Nongplakradee Road, Tambol Bualoy Ampohe Nong Khae Saraburi (TH)",,,,04,,,,Saraburi (TH)
567,Voyager Trading Partners LLC,False,False,"555 BRYANT ST APT 356 PALO ALTO, CA 94301 USA",Import.ops@drip capital.com,Palo Alto,,False,United States,"555 BRYANT ST APT 356 PALO ALTO, CA 94301 USA Import.ops@drip capital.com Palo Alto",,,,,,ops,,
568,THAI KBS BATTERY COMPANY LIMITED,0305553002696,False,"212 Moo. 3, Nong Bua Sala Subdistrict, Mueang Nakhon Ratchasima District",False,False,Nakhon Ratchasima (TH),30000,Thailand,"212 Moo. 3, Nong Bua Sala Subdistrict, Mueang Nakhon Ratchasima District Nakhon Ratchasima (TH)",,,,,,,Ratchasima,Nakhon Ratchasima (TH)
569,NARAC ARMS INDUSTRY COMPANY LIMITED,0115549007508,False,"119 Moo 13, Khao Khlung Subdistrict, Ban Prong District",False,False,Ratchaburi (TH),70110,Thailand,"119 Moo 13, Khao Khlung Subdistrict, Ban Prong District Ratchaburi (TH)",,,,13,,,Prong,Ratchaburi (TH)
570,บริษัท เสริมพงษ์ ดีเวลลอปเม้นต์ จำกัด,False,False,43/27 ตำบลบางสีทอง อำเภอบางกรวย จังหวัดนนทบุรี 11130,False,False,,False,,43/27 ตำบลบางสีทอง อำเภอบางกรวย จังหวัดนนทบุรี 11130,,,,,,บางสีทอง,บางกรวย,นนทบุรี
573,NIC INTERCHEM COMPANY LIMITED,0105547145199,False,False,"13/46 Moo 6, Khlong Sam Subdistrict, Khlong Luang District",KHLONG LUANG,Pathum Thani (TH),12120,Thailand,"13/46 Moo 6, Khlong Sam Subdistrict, Khlong Luang District KHLONG LUANG Pathum Thani (TH)",,,,06,,,Luang,Pathum Thani (TH)
576,LYRECO (THAILAND) COMPANY LIMITED,0105544109337,False,เลขที  4345 อาคารภิรัชทาวเวอร์แอท ไบเทค ห้องเลขที  1601-1608 ชั้นที 16 ถนนสุขุมวิท แขวงบางนาใต้ เขตบางนา กรุงเทพมหานคร 10260,False,BANG NA,,False,Thailand,เลขที  4345 อาคารภิรัชทาวเวอร์แอท ไบเทค ห้องเลขที  1601-1608 ชั้นที 16 ถนนสุขุมวิท แขวงบางนาใต้ เขตบางนา กรุงเทพมหานคร 10260 BANG NA,ภิรัชทาวเวอร์แอท ไบเทค,,,,,บางนาใต้,บางนา,
581,BULLET MASTER COMPANY LIMITED,0115534003111,False,"48 Soi Chaloem Prakiat Rama 9, Soi 65, Intersection 1 Prawet Subdistrict, Prawet District",False,False,Bangkok (TH),10250,Thailand,"48 Soi Chaloem Prakiat Rama 9, Soi 65, Intersection 1 Prawet Subdistrict, Prawet District Bangkok (TH)",,,,,Chaloem,,Prawet,Bangkok (TH)
1116,บริษัท เจริญเมืองแมชชินเนอรี่ จำกัด,0105534119020,False,164/1 ถนนวิสุทธิกษัตริย์ แขวงบ้านพานถ เขตพระนคร กรุงเทพมหานคร,False,False,Bangkok (TH),10200,Thailand,164/1 ถนนวิสุทธิกษัตริย์ แขวงบ้านพานถ เขตพระนคร กรุงเทพมหานคร Bangkok (TH),,,,,,บ้านพานถ,พระนคร,Bangkok (TH)
1130,"บริษัท เอ็น.ที.เอช แก๊สเทค จำกัด N.T.H. Gastech Co., Ltd.",0195547000921,False,8​ หมู่9​ ถนนมิตรภาพ​ ตำบลทับกวาง​ อำเภอแก่งคอย​ จังหวัดสระบุรี​,False,False,Saraburi (TH),18260,Thailand,8​ หมู่9​ ถนนมิตรภาพ​ ตำบลทับกวาง​ อำเภอแก่งคอย​ จังหวัดสระบุรี​ Saraburi (TH),,,,09,,ทับกวาง​,แก่งคอย​,สระบุรี​
1134,บริษัท แอร์เอกซ์เพรส เอ็นจิเนียริ่ง จำกัด,False,False,132  Moo5 Wangchula Wangnoi Ayutthaya 13170,False,False,,False,,132  Moo5 Wangchula Wangnoi Ayutthaya 13170,,,,05,,,,
1135,บริษัท โชคพัฒนาสระบุรี เซอร์วิส จำกัด,0195535000191,False,35 ถนนมิตรภาพ ตำบลปากเพรียว อำเภอเมืองสระบุรี จังหวัดสระบุรี 18000,False,False,,False,,35 ถนนมิตรภาพ ตำบลปากเพรียว อำเภอเมืองสระบุรี จังหวัดสระบุรี 18000,,,,,,ปากเพรียว,เมืองสระบุรี,สระบุรี
1144,บริษัท ซีพี แอ็กซ์ตร้า จำกัด(มหาชน),0107567000414,False,66/3 หมู่2 ตำบลตลิ่งชัน อำเภอเมืองสระบุรี จังหวัดสระบุรี,False,False,Saraburi (TH),18000,Thailand,66/3 หมู่2 ตำบลตลิ่งชัน อำเภอเมืองสระบุรี จังหวัดสระบุรี Saraburi (TH),,,,02,,ตลิ่งชัน,เมืองสระบุรี,สระบุรี
