id,name,vat,ref,street,street2,city,state,zip,country,full_address,parsed_building_name,parsed_floor_number,parsed_room_number,parsed_moo,parsed_soi,parsed_sub_district,parsed_district,parsed_province
1,PANYARAKSA COMPANY LIMITED,0105548127011,False,199/1-3 ม.1 ต.วังด้ง อ.เมือง จ.กาญจนบุรี 71190,False,False,,False,,199/1-3 ม.1 ต.วังด้ง อ.เมือง จ.กาญจนบุรี 71190 False False,,,,01,,วังด้ง,เมือง,กาญจนบุรี
10,"GS Yuasa Siam industry  Co.,Ltd.",0115551005428,False,"(Head Office) 111 Moo 9 Huasamrong, Plangyao,",Chachoengsao 24190,False,,False,,"(Head Office) 111 Moo 9 Huasamrong, Plangyao, Chachoengsao 24190 False",,,,09,,,,
11,"บริษัท สมพรโลหะกิจ จำกัด  Somporn Lahakit Co.,Ltd.",0115559013781,False,(สำนักงานใหญ่) 103/2 หมู่ที่ 2 ตำบลแหลมประดู่,อำเภอบ้านโพธิ์  จังหวัดฉะเชิงเทรา  24140,False,,False,,(สำนักงานใหญ่) 103/2 หมู่ที่ 2 ตำบลแหลมประดู่ อำเภอบ้านโพธิ์  จังหวัดฉะเชิงเทรา  24140 False,,,,02,,แหลมประดู่,บ้านโพธิ์,ฉะเชิงเทรา
12,"บริษัท เบ๊บ เอ็น บียอนด์  จำกัด Babe N Beyond Co., Ltd",0105564066986,False,(สำนักงานใหญ่)  24/27 ถนนสุขาภิบาล 2 แขวงประเวศ เขตบางเขน กทม. 10250,False,False,,False,,(สำนักงานใหญ่)  24/27 ถนนสุขาภิบาล 2 แขวงประเวศ เขตบางเขน กทม. 10250 False False,,,,10250,,ประเวศ,บางเขน,
15,"บริษัท กาญจนบุรีเอ็นจิเนียริ่ง จำกัด Kanchanaburi Engineering Co., Ltd.",0715555001260,False,(สำนักงานใหญ่) 85-87-89 ถนนแสงชูโตใต้  ตำบลท่อล้อ,อำเภอท่าม่วง จังหวัดกาญจนบุรี 71000,False,,False,,(สำนักงานใหญ่) 85-87-89 ถนนแสงชูโตใต้  ตำบลท่อล้อ อำเภอท่าม่วง จังหวัดกาญจนบุรี 71000 False,,,,,,ท่อล้อ,ท่าม่วง,กาญจนบุรี
16,"บริษัท เซฟตี้ ไซเอินซ์ แลบบอราทอรี่ จำกัด Safety Science Laboratory Co., Ltd.",0105560160180,False,(สำนักงานใหญ่) 294/64 ถนนร่มเกล้า  แขวงคลองสามประเวศ,เขตลาดกระบัง  กรุงเทพมหานคร 10520,False,,False,,(สำนักงานใหญ่) 294/64 ถนนร่มเกล้า  แขวงคลองสามประเวศ เขตลาดกระบัง  กรุงเทพมหานคร 10520 False,,,,,,คลองสามประเวศ,ลาดกระบัง,
17,"บริษัท โคเน่เครนส์ แมททีเรียล แฮนด์ลิง(ประเทศไทย) จำกัด Konecranes Material Handling (Thailand) Co., Ltd.",0105517000907,False,(สำนักงานใหญ่) 23/110 อาคารสรชัยชั้น 25 ซอยสุขุมวิท 63  แขวงคลองตันเหนือ,เขตวัฒนา  กรุงเทพมหานคร 10110,False,,False,,(สำนักงานใหญ่) 23/110 อาคารสรชัยชั้น 25 ซอยสุขุมวิท 63  แขวงคลองตันเหนือ เขตวัฒนา  กรุงเทพมหานคร 10110 False,สรชัยชั้น 25,25,,,,คลองตันเหนือ,วัฒนา,
18,"บริษัท คิวอีเอส (ไทยแลนด์) จำกัด QES (Thailand) Co., Ltd.",0105541030276,False,"(สำนักงานใหญ่) 509,511 ถนนรามอินทรา  แขวงรามอินทรา",เขตคันนายาว  กรุงเทพมหานคร  10230,False,,False,,"(สำนักงานใหญ่) 509,511 ถนนรามอินทรา  แขวงรามอินทรา เขตคันนายาว  กรุงเทพมหานคร  10230 False",,,,,,รามอินทรา,คันนายาว,
20,"บริษัท ซีพี แอ็กซ์ตร้า จำกัด(มหาชน) CP Actra Public Co., Ltd.",0107567000414,False,(สาขากาญจนบุรี) 102 หมู่ 2 ตำบลท่าล้อ  อำเภอท่าม่วง   จังหวัดกาญจนบุรี  71000,False,False,,False,,(สาขากาญจนบุรี) 102 หมู่ 2 ตำบลท่าล้อ  อำเภอท่าม่วง   จังหวัดกาญจนบุรี  71000 False False,,,,02,,ท่าล้อ,ท่าม่วง,กาญจนบุรี
21,"บริษัท สยาม บิลด์อิท  จำกัด  Siam Buildit co., ltd.",0715560003127,False,(สำนักงานใหญ่) 1-3 ซอย 3  ถนนอู่ทอง  ตำบลบ้านเหนือ,อำเภอเมืองกาญจนบุรี  จังหวัดกาญจนบุรี  71000,False,,False,,(สำนักงานใหญ่) 1-3 ซอย 3  ถนนอู่ทอง  ตำบลบ้านเหนือ อำเภอเมืองกาญจนบุรี  จังหวัดกาญจนบุรี  71000 False,,,,,3,บ้านเหนือ,เมืองกาญจนบุรี,กาญจนบุรี
22,"บริษัท จิรเจริญ จำกัด  Jirajaroen Co.,Ltd",0705556001891,False,171 หมู่ 10 ตำบลหนองอ้อ  อำเภอบ้านโป่ง   จังหวัดราชบุรี  70110,False,False,,False,,171 หมู่ 10 ตำบลหนองอ้อ  อำเภอบ้านโป่ง   จังหวัดราชบุรี  70110 False False,,,,10,,หนองอ้อ,บ้านโป่ง,ราชบุรี
23,"บริษัท  รักษาความปลอดภัย วิคตอรี่ การ์ด  จำกัด Security Victory Guard Co., Ltd.",0105535084190,False,19/18 ซอยนวมินทร์ 28  แขวงคลองกุ่ม  เขตบึงกุ่ม  กรุงเทพมหานคร  10240,False,False,,False,,19/18 ซอยนวมินทร์ 28  แขวงคลองกุ่ม  เขตบึงกุ่ม  กรุงเทพมหานคร  10240 False False,,,,,,คลองกุ่ม,บึงกุ่ม,
24,"บริษัท ลินเด้ (ประเทศไทย) จำกัด (มหาชน) Linde (Thailand) Pub Co., Ltd.",0107537000785,False,(สำนักงานใหญ่) ชั้น 15 บางนาทาวเวอร์ เอ 2/3 หมู่ 14 ถนนบางนา-ตราด กม.6.5,ตำบลบางแก้ว  อำเภอบางพลี  จังหวัดสมุทรปราการ 10540,False,,False,,(สำนักงานใหญ่) ชั้น 15 บางนาทาวเวอร์ เอ 2/3 หมู่ 14 ถนนบางนา-ตราด กม.6.5 ตำบลบางแก้ว  อำเภอบางพลี  จังหวัดสมุทรปราการ 10540 False,,15,,14,,บางแก้ว,บางพลี,สมุทรปราการ
25,"Siam GS Battery  Co.,Ltd.",0105509000014,False,"(Head Office ) 78-78/1 Moo 3 Sukhumvit Rd., T.Bangpoomai,","A.Muang, Samutprakarn 10280",False,,False,,"(Head Office ) 78-78/1 Moo 3 Sukhumvit Rd., T.Bangpoomai, A.Muang, Samutprakarn 10280 False",,,,03,,Bangpoomai,Muang,
26,โรงกลึงวิชาญการช่าง(คุณพันณี ขวัญเต่า) Wichan Kanchang Lathe Factory,3140600258916,False,(สำนักงานใหญ่) 212/49 หมู่ 5 ตำบลท่ามะขาม,อำเภอเมือง จังหวัดกาญจนบุรี  71000,False,,False,,(สำนักงานใหญ่) 212/49 หมู่ 5 ตำบลท่ามะขาม อำเภอเมือง จังหวัดกาญจนบุรี  71000 False,,,,05,,ท่ามะขาม,เมือง,กาญจนบุรี
27,ร้านบงกช,False,False,99/1 หมู่ 1 ตำบลลาดหญ้า  อำเภอเมือง จังหวัดกาญจนบุรี,False,False,,False,,99/1 หมู่ 1 ตำบลลาดหญ้า  อำเภอเมือง จังหวัดกาญจนบุรี False False,,,,01,,ลาดหญ้า,เมือง,กาญจนบุรี
29,ฉินอี่กี่ 1995  Chinyeekee 1995,3719900235388,False,(สำนักงานใหญ่) 46/13 ถนนแสงชูโต  ตำบลบ้านใต้,อำเภอเมือง  จังหวัดกาญจนบุรี,False,,False,,(สำนักงานใหญ่) 46/13 ถนนแสงชูโต  ตำบลบ้านใต้ อำเภอเมือง  จังหวัดกาญจนบุรี False,,,,,,บ้านใต้,เมือง,กาญจนบุรี
30,"บริษัท ไอยรา วิศวกรรม จำกัด  IYARA ENGINEERING CO., LTD.",0105540015354,False,(สำนักงานใหญ่) 26/9-10 หมู่ 5ถนนลำลูกกา-ธัญบุรี ตำบลบึงคำพร้อย,อำเภอลำลูกกา จังหวัดปทุมธานี  12150,False,,False,,(สำนักงานใหญ่) 26/9-10 หมู่ 5ถนนลำลูกกา-ธัญบุรี ตำบลบึงคำพร้อย อำเภอลำลูกกา จังหวัดปทุมธานี  12150 False,,,,05,,บึงคำพร้อย,ลำลูกกา,ปทุมธานี
31,"บริษัท เอ็นแอนด์เอ็น รีไซเคิล อินดัสทรี จำกัด (N&N RECYCLE INDUSTRY CO., LTD.)",0115554002055,False,(สำนักงานใหญ่) 77 หมู่ที่ 3 ตำบลแพรกษาใหม่,อำเภอเมืองสมุทรปราการ  10280,False,,False,,(สำนักงานใหญ่) 77 หมู่ที่ 3 ตำบลแพรกษาใหม่ อำเภอเมืองสมุทรปราการ  10280 False,,,,03,,แพรกษาใหม่,เมืองสมุทรปราการ,
32,"บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน) PTT Oil and Retail Business Public Co., Ltd.",0107561000013,False,555/2 ศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 ถนนวิภาวดีรังสิต,แขวงจตุจักร  เขตจตุจักร  กรุงเทพฯ  10900,False,,False,,555/2 ศูนย์เอนเนอร์ยี่คอมเพล็กซ์ อาคารบี ชั้นที่ 12 ถนนวิภาวดีรังสิต แขวงจตุจักร  เขตจตุจักร  กรุงเทพฯ  10900 False,บี ชั้นที่,12,,,,จตุจักร,จตุจักร,
33,"บริษัท เบอร์กโซ่ เมตัลส์ จำกัด  Bergsoe Metals Co.,Ltd",0135523000051,False,"(Head Office)250 Village No. 11, Ban Pa Subdistrict,","Kaeng Khoi District, Saraburi Province 18110.",False,,False,,"(Head Office)250 Village No. 11, Ban Pa Subdistrict, Kaeng Khoi District, Saraburi Province 18110. False",,,,,,,Khoi,Saraburi
34,ห้างหุ้นส่วนจำกัด รุ่งแสงกาญจนบุรี Rung Saeng Kanchanaburi LP.,0713535000215,False,(สำนักงานใหญ่)  199/2  ถนนแสงชูโต ตำบลท่ามะขาม,อำเภอเมือง  จังหวัดกาญจนบุรี 71000,False,,False,,(สำนักงานใหญ่)  199/2  ถนนแสงชูโต ตำบลท่ามะขาม อำเภอเมือง  จังหวัดกาญจนบุรี 71000 False,,,,,,ท่ามะขาม,เมือง,กาญจนบุรี
35,ช.เฮงหลง C.Heng Long,0992000717332,False,(สำนักงานใหญ่) 160/52-54 ถนนแสงชูโต,อำเภอเมือง  จังหวัดกาญจนบุรี,False,,False,,(สำนักงานใหญ่) 160/52-54 ถนนแสงชูโต อำเภอเมือง  จังหวัดกาญจนบุรี False,,,,,,,เมือง,กาญจนบุรี
38,ลาดหญ้าค้าส่ง,False,False,55/41 หมู่ 8 ตำบลหนองบัว,อำเภอเมืองกาญจนบุรี จังหวัดกาญจนบุรี  71190,False,,False,,55/41 หมู่ 8 ตำบลหนองบัว อำเภอเมืองกาญจนบุรี จังหวัดกาญจนบุรี  71190 False,,,,08,,หนองบัว,เมืองกาญจนบุรี,กาญจนบุรี
